17,07,undirected,18CalculusAffair
62,88,undirected,18CalculusAffair
62,11,undirected,18CalculusAffair
62,38,undirected,18CalculusAffair
62,37,undirected,18CalculusAffair
62,56,undirected,18CalculusAffair
62,41,undirected,18CalculusAffair
62,24,undirected,18CalculusAffair
62,03,undirected,18CalculusAffair
62,43,undirected,18CalculusAffair
62,22,undirected,18CalculusAffair
62,90,undirected,18CalculusAffair
62,46,undirected,18CalculusAffair
62,07,undirected,18CalculusAffair
88,11,undirected,18CalculusAffair
88,38,undirected,18CalculusAffair
88,37,undirected,18CalculusAffair
88,56,undirected,18CalculusAffair
88,41,undirected,18CalculusAffair
88,24,undirected,18CalculusAffair
88,03,undirected,18CalculusAffair
88,43,undirected,18CalculusAffair
88,22,undirected,18CalculusAffair
88,90,undirected,18CalculusAffair
88,46,undirected,18CalculusAffair
88,07,undirected,18CalculusAffair
11,38,undirected,18CalculusAffair
11,37,undirected,18CalculusAffair
11,56,undirected,18CalculusAffair
11,41,undirected,18CalculusAffair
11,24,undirected,18CalculusAffair
11,03,undirected,18CalculusAffair
11,43,undirected,18CalculusAffair
11,22,undirected,18CalculusAffair
11,90,undirected,18CalculusAffair
11,46,undirected,18CalculusAffair
11,07,undirected,18CalculusAffair
38,37,undirected,18CalculusAffair
38,56,undirected,18CalculusAffair
38,41,undirected,18CalculusAffair
38,24,undirected,18CalculusAffair
38,03,undirected,18CalculusAffair
38,43,undirected,18CalculusAffair
38,22,undirected,18CalculusAffair
38,90,undirected,18CalculusAffair
38,46,undirected,18CalculusAffair
38,07,undirected,18CalculusAffair
37,56,undirected,18CalculusAffair
37,41,undirected,18CalculusAffair
37,24,undirected,18CalculusAffair
37,03,undirected,18CalculusAffair
37,43,undirected,18CalculusAffair
37,22,undirected,18CalculusAffair
37,90,undirected,18CalculusAffair
37,46,undirected,18CalculusAffair
37,07,undirected,18CalculusAffair
56,41,undirected,18CalculusAffair
56,24,undirected,18CalculusAffair
56,03,undirected,18CalculusAffair
56,43,undirected,18CalculusAffair
56,22,undirected,18CalculusAffair
56,90,undirected,18CalculusAffair
56,46,undirected,18CalculusAffair
56,07,undirected,18CalculusAffair
41,24,undirected,18CalculusAffair
41,03,undirected,18CalculusAffair
41,43,undirected,18CalculusAffair
41,22,undirected,18CalculusAffair
41,90,undirected,18CalculusAffair
41,46,undirected,18CalculusAffair
41,07,undirected,18CalculusAffair
24,03,undirected,18CalculusAffair
24,43,undirected,18CalculusAffair
24,22,undirected,18CalculusAffair
24,90,undirected,18CalculusAffair
24,46,undirected,18CalculusAffair
24,07,undirected,18CalculusAffair
03,43,undirected,18CalculusAffair
03,22,undirected,18CalculusAffair
03,90,undirected,18CalculusAffair
03,46,undirected,18CalculusAffair
03,07,undirected,18CalculusAffair
43,22,undirected,18CalculusAffair
43,90,undirected,18CalculusAffair
43,46,undirected,18CalculusAffair
43,07,undirected,18CalculusAffair
22,90,undirected,18CalculusAffair
22,46,undirected,18CalculusAffair
22,07,undirected,18CalculusAffair
90,46,undirected,18CalculusAffair
90,07,undirected,18CalculusAffair
46,07,undirected,18CalculusAffair
89,76,undirected,19RedSeaSharks
89,17,undirected,19RedSeaSharks
89,31,undirected,19RedSeaSharks
89,25,undirected,19RedSeaSharks
89,51,undirected,19RedSeaSharks
89,01,undirected,19RedSeaSharks
89,08,undirected,19RedSeaSharks
89,57,undirected,19RedSeaSharks
89,61,undirected,19RedSeaSharks
89,71,undirected,19RedSeaSharks
89,27,undirected,19RedSeaSharks
89,04,undirected,19RedSeaSharks
89,11,undirected,19RedSeaSharks
89,62,undirected,19RedSeaSharks
89,88,undirected,19RedSeaSharks
89,56,undirected,19RedSeaSharks
89,41,undirected,19RedSeaSharks
76,17,undirected,19RedSeaSharks
76,31,undirected,19RedSeaSharks
76,25,undirected,19RedSeaSharks
76,51,undirected,19RedSeaSharks
76,01,undirected,19RedSeaSharks
76,08,undirected,19RedSeaSharks
76,57,undirected,19RedSeaSharks
76,61,undirected,19RedSeaSharks
76,71,undirected,19RedSeaSharks
76,27,undirected,19RedSeaSharks
76,04,undirected,19RedSeaSharks
76,11,undirected,19RedSeaSharks
76,62,undirected,19RedSeaSharks
76,88,undirected,19RedSeaSharks
76,56,undirected,19RedSeaSharks
76,41,undirected,19RedSeaSharks
17,31,undirected,19RedSeaSharks
17,25,undirected,19RedSeaSharks
17,51,undirected,19RedSeaSharks
17,01,undirected,19RedSeaSharks
17,08,undirected,19RedSeaSharks
17,57,undirected,19RedSeaSharks
17,61,undirected,19RedSeaSharks
17,71,undirected,19RedSeaSharks
17,27,undirected,19RedSeaSharks
17,04,undirected,19RedSeaSharks
17,11,undirected,19RedSeaSharks
17,62,undirected,19RedSeaSharks
17,88,undirected,19RedSeaSharks
17,56,undirected,19RedSeaSharks
17,41,undirected,19RedSeaSharks
31,25,undirected,19RedSeaSharks
31,51,undirected,19RedSeaSharks
31,01,undirected,19RedSeaSharks
31,08,undirected,19RedSeaSharks
31,57,undirected,19RedSeaSharks
31,61,undirected,19RedSeaSharks
31,71,undirected,19RedSeaSharks
31,27,undirected,19RedSeaSharks
31,04,undirected,19RedSeaSharks
31,11,undirected,19RedSeaSharks
31,62,undirected,19RedSeaSharks
31,88,undirected,19RedSeaSharks
31,56,undirected,19RedSeaSharks
31,41,undirected,19RedSeaSharks
25,51,undirected,19RedSeaSharks
25,01,undirected,19RedSeaSharks
25,08,undirected,19RedSeaSharks
25,57,undirected,19RedSeaSharks
25,61,undirected,19RedSeaSharks
25,71,undirected,19RedSeaSharks
25,27,undirected,19RedSeaSharks
25,04,undirected,19RedSeaSharks
25,11,undirected,19RedSeaSharks
25,62,undirected,19RedSeaSharks
25,88,undirected,19RedSeaSharks
25,56,undirected,19RedSeaSharks
25,41,undirected,19RedSeaSharks
51,01,undirected,19RedSeaSharks
51,08,undirected,19RedSeaSharks
51,57,undirected,19RedSeaSharks
51,61,undirected,19RedSeaSharks
51,71,undirected,19RedSeaSharks
51,27,undirected,19RedSeaSharks
51,04,undirected,19RedSeaSharks
51,11,undirected,19RedSeaSharks
51,62,undirected,19RedSeaSharks
51,88,undirected,19RedSeaSharks
51,56,undirected,19RedSeaSharks
51,41,undirected,19RedSeaSharks
01,08,undirected,19RedSeaSharks
01,57,undirected,19RedSeaSharks
01,61,undirected,19RedSeaSharks
01,71,undirected,19RedSeaSharks
01,27,undirected,19RedSeaSharks
01,04,undirected,19RedSeaSharks
01,11,undirected,19RedSeaSharks
01,62,undirected,19RedSeaSharks
01,88,undirected,19RedSeaSharks
01,56,undirected,19RedSeaSharks
01,41,undirected,19RedSeaSharks
08,57,undirected,19RedSeaSharks
08,61,undirected,19RedSeaSharks
08,71,undirected,19RedSeaSharks
08,27,undirected,19RedSeaSharks
08,04,undirected,19RedSeaSharks
08,11,undirected,19RedSeaSharks
08,62,undirected,19RedSeaSharks
08,88,undirected,19RedSeaSharks
08,56,undirected,19RedSeaSharks
08,41,undirected,19RedSeaSharks
57,61,undirected,19RedSeaSharks
57,71,undirected,19RedSeaSharks
57,27,undirected,19RedSeaSharks
57,04,undirected,19RedSeaSharks
57,11,undirected,19RedSeaSharks
57,62,undirected,19RedSeaSharks
57,88,undirected,19RedSeaSharks
57,56,undirected,19RedSeaSharks
57,41,undirected,19RedSeaSharks
61,71,undirected,19RedSeaSharks
61,27,undirected,19RedSeaSharks
61,04,undirected,19RedSeaSharks
61,11,undirected,19RedSeaSharks
61,62,undirected,19RedSeaSharks
61,88,undirected,19RedSeaSharks
61,56,undirected,19RedSeaSharks
61,41,undirected,19RedSeaSharks
71,27,undirected,19RedSeaSharks
71,04,undirected,19RedSeaSharks
71,11,undirected,19RedSeaSharks
71,62,undirected,19RedSeaSharks
71,88,undirected,19RedSeaSharks
71,56,undirected,19RedSeaSharks
71,41,undirected,19RedSeaSharks
27,04,undirected,19RedSeaSharks
27,11,undirected,19RedSeaSharks
27,62,undirected,19RedSeaSharks
27,88,undirected,19RedSeaSharks
27,56,undirected,19RedSeaSharks
27,41,undirected,19RedSeaSharks
04,11,undirected,19RedSeaSharks
04,62,undirected,19RedSeaSharks
04,88,undirected,19RedSeaSharks
04,56,undirected,19RedSeaSharks
04,41,undirected,19RedSeaSharks
11,62,undirected,19RedSeaSharks
11,88,undirected,19RedSeaSharks
11,56,undirected,19RedSeaSharks
11,41,undirected,19RedSeaSharks
62,88,undirected,19RedSeaSharks
62,56,undirected,19RedSeaSharks
62,41,undirected,19RedSeaSharks
88,56,undirected,19RedSeaSharks
88,41,undirected,19RedSeaSharks
56,41,undirected,19RedSeaSharks
89,76,undirected,20Tibet
89,17,undirected,20Tibet
89,79,undirected,20Tibet
89,13,undirected,20Tibet
89,83,undirected,20Tibet
89,18,undirected,20Tibet
89,62,undirected,20Tibet
89,11,undirected,20Tibet
76,17,undirected,20Tibet
76,79,undirected,20Tibet
76,13,undirected,20Tibet
76,83,undirected,20Tibet
76,18,undirected,20Tibet
76,62,undirected,20Tibet
76,11,undirected,20Tibet
17,79,undirected,20Tibet
17,13,undirected,20Tibet
17,83,undirected,20Tibet
17,18,undirected,20Tibet
17,62,undirected,20Tibet
17,11,undirected,20Tibet
79,13,undirected,20Tibet
79,83,undirected,20Tibet
79,18,undirected,20Tibet
79,62,undirected,20Tibet
79,11,undirected,20Tibet
13,83,undirected,20Tibet
13,18,undirected,20Tibet
13,62,undirected,20Tibet
13,11,undirected,20Tibet
83,18,undirected,20Tibet
83,62,undirected,20Tibet
83,11,undirected,20Tibet
18,62,undirected,20Tibet
18,11,undirected,20Tibet
62,11,undirected,20Tibet
89,76,undirected,21CastafioreEmerald
89,17,undirected,21CastafioreEmerald
89,62,undirected,21CastafioreEmerald
89,88,undirected,21CastafioreEmerald
89,11,undirected,21CastafioreEmerald
89,38,undirected,21CastafioreEmerald
89,37,undirected,21CastafioreEmerald
89,56,undirected,21CastafioreEmerald
89,54,undirected,21CastafioreEmerald
89,24,undirected,21CastafioreEmerald
89,41,undirected,21CastafioreEmerald
89,20,undirected,21CastafioreEmerald
76,17,undirected,21CastafioreEmerald
76,62,undirected,21CastafioreEmerald
76,88,undirected,21CastafioreEmerald
76,11,undirected,21CastafioreEmerald
76,38,undirected,21CastafioreEmerald
76,37,undirected,21CastafioreEmerald
76,56,undirected,21CastafioreEmerald
76,54,undirected,21CastafioreEmerald
76,24,undirected,21CastafioreEmerald
76,41,undirected,21CastafioreEmerald
76,20,undirected,21CastafioreEmerald
17,62,undirected,21CastafioreEmerald
17,88,undirected,21CastafioreEmerald
17,11,undirected,21CastafioreEmerald
17,38,undirected,21CastafioreEmerald
17,37,undirected,21CastafioreEmerald
17,56,undirected,21CastafioreEmerald
17,54,undirected,21CastafioreEmerald
17,24,undirected,21CastafioreEmerald
17,41,undirected,21CastafioreEmerald
17,20,undirected,21CastafioreEmerald
62,88,undirected,21CastafioreEmerald
62,11,undirected,21CastafioreEmerald
62,38,undirected,21CastafioreEmerald
62,37,undirected,21CastafioreEmerald
62,56,undirected,21CastafioreEmerald
62,54,undirected,21CastafioreEmerald
62,24,undirected,21CastafioreEmerald
62,41,undirected,21CastafioreEmerald
62,20,undirected,21CastafioreEmerald
88,11,undirected,21CastafioreEmerald
88,38,undirected,21CastafioreEmerald
88,37,undirected,21CastafioreEmerald
88,56,undirected,21CastafioreEmerald
88,54,undirected,21CastafioreEmerald
88,24,undirected,21CastafioreEmerald
88,41,undirected,21CastafioreEmerald
88,20,undirected,21CastafioreEmerald
11,38,undirected,21CastafioreEmerald
11,37,undirected,21CastafioreEmerald
11,56,undirected,21CastafioreEmerald
11,54,undirected,21CastafioreEmerald
11,24,undirected,21CastafioreEmerald
11,41,undirected,21CastafioreEmerald
11,20,undirected,21CastafioreEmerald
38,37,undirected,21CastafioreEmerald
38,56,undirected,21CastafioreEmerald
38,54,undirected,21CastafioreEmerald
38,24,undirected,21CastafioreEmerald
38,41,undirected,21CastafioreEmerald
38,20,undirected,21CastafioreEmerald
37,56,undirected,21CastafioreEmerald
37,54,undirected,21CastafioreEmerald
37,24,undirected,21CastafioreEmerald
37,41,undirected,21CastafioreEmerald
37,20,undirected,21CastafioreEmerald
56,54,undirected,21CastafioreEmerald
56,24,undirected,21CastafioreEmerald
56,41,undirected,21CastafioreEmerald
56,20,undirected,21CastafioreEmerald
54,24,undirected,21CastafioreEmerald
54,41,undirected,21CastafioreEmerald
54,20,undirected,21CastafioreEmerald
24,41,undirected,21CastafioreEmerald
24,20,undirected,21CastafioreEmerald
41,20,undirected,21CastafioreEmerald
89,76,undirected,22Flight714
89,17,undirected,22Flight714
89,62,undirected,22Flight714
89,44,undirected,22Flight714
89,61,undirected,22Flight714
89,78,undirected,22Flight714
89,34,undirected,22Flight714
89,26,undirected,22Flight714
89,04,undirected,22Flight714
89,71,undirected,22Flight714
89,87,undirected,22Flight714
89,48,undirected,22Flight714
89,41,undirected,22Flight714
76,17,undirected,22Flight714
76,62,undirected,22Flight714
76,44,undirected,22Flight714
76,61,undirected,22Flight714
76,78,undirected,22Flight714
76,34,undirected,22Flight714
76,26,undirected,22Flight714
76,04,undirected,22Flight714
76,71,undirected,22Flight714
76,87,undirected,22Flight714
76,48,undirected,22Flight714
76,41,undirected,22Flight714
17,62,undirected,22Flight714
17,44,undirected,22Flight714
17,61,undirected,22Flight714
17,78,undirected,22Flight714
17,34,undirected,22Flight714
17,26,undirected,22Flight714
17,04,undirected,22Flight714
17,71,undirected,22Flight714
17,87,undirected,22Flight714
17,48,undirected,22Flight714
17,41,undirected,22Flight714
62,44,undirected,22Flight714
62,61,undirected,22Flight714
62,78,undirected,22Flight714
62,34,undirected,22Flight714
62,26,undirected,22Flight714
62,04,undirected,22Flight714
62,71,undirected,22Flight714
62,87,undirected,22Flight714
62,48,undirected,22Flight714
62,41,undirected,22Flight714
44,61,undirected,22Flight714
44,78,undirected,22Flight714
44,34,undirected,22Flight714
44,26,undirected,22Flight714
44,04,undirected,22Flight714
44,71,undirected,22Flight714
44,87,undirected,22Flight714
44,48,undirected,22Flight714
44,41,undirected,22Flight714
61,78,undirected,22Flight714
61,34,undirected,22Flight714
61,26,undirected,22Flight714
61,04,undirected,22Flight714
61,71,undirected,22Flight714
61,87,undirected,22Flight714
61,48,undirected,22Flight714
61,41,undirected,22Flight714
78,34,undirected,22Flight714
78,26,undirected,22Flight714
78,04,undirected,22Flight714
78,71,undirected,22Flight714
78,87,undirected,22Flight714
78,48,undirected,22Flight714
78,41,undirected,22Flight714
34,26,undirected,22Flight714
34,04,undirected,22Flight714
34,71,undirected,22Flight714
34,87,undirected,22Flight714
34,48,undirected,22Flight714
34,41,undirected,22Flight714
26,04,undirected,22Flight714
26,71,undirected,22Flight714
26,87,undirected,22Flight714
26,48,undirected,22Flight714
26,41,undirected,22Flight714
04,71,undirected,22Flight714
04,87,undirected,22Flight714
04,48,undirected,22Flight714
04,41,undirected,22Flight714
71,87,undirected,22Flight714
71,48,undirected,22Flight714
71,41,undirected,22Flight714
87,48,undirected,22Flight714
87,41,undirected,22Flight714
48,41,undirected,22Flight714
89,76,undirected,23Picaros
89,17,undirected,23Picaros
89,62,undirected,23Picaros
89,88,undirected,23Picaros
89,31,undirected,23Picaros
89,32,undirected,23Picaros
89,85,undirected,23Picaros
89,59,undirected,23Picaros
89,11,undirected,23Picaros
89,56,undirected,23Picaros
89,22,undirected,23Picaros
89,41,undirected,23Picaros
89,73,undirected,23Picaros
89,80,undirected,23Picaros
89,24,undirected,23Picaros
89,20,undirected,23Picaros
76,17,undirected,23Picaros
76,62,undirected,23Picaros
76,88,undirected,23Picaros
76,31,undirected,23Picaros
76,32,undirected,23Picaros
76,85,undirected,23Picaros
76,59,undirected,23Picaros
76,11,undirected,23Picaros
76,56,undirected,23Picaros
76,22,undirected,23Picaros
76,41,undirected,23Picaros
76,73,undirected,23Picaros
76,80,undirected,23Picaros
76,24,undirected,23Picaros
76,20,undirected,23Picaros
17,62,undirected,23Picaros
17,88,undirected,23Picaros
17,31,undirected,23Picaros
17,32,undirected,23Picaros
17,85,undirected,23Picaros
17,59,undirected,23Picaros
17,11,undirected,23Picaros
17,56,undirected,23Picaros
17,22,undirected,23Picaros
17,41,undirected,23Picaros
17,73,undirected,23Picaros
17,80,undirected,23Picaros
17,24,undirected,23Picaros
17,20,undirected,23Picaros
62,88,undirected,23Picaros
62,31,undirected,23Picaros
62,32,undirected,23Picaros
62,85,undirected,23Picaros
62,59,undirected,23Picaros
62,11,undirected,23Picaros
62,56,undirected,23Picaros
62,22,undirected,23Picaros
62,41,undirected,23Picaros
62,73,undirected,23Picaros
62,80,undirected,23Picaros
62,24,undirected,23Picaros
62,20,undirected,23Picaros
88,31,undirected,23Picaros
88,32,undirected,23Picaros
88,85,undirected,23Picaros
88,59,undirected,23Picaros
88,11,undirected,23Picaros
88,56,undirected,23Picaros
88,22,undirected,23Picaros
88,41,undirected,23Picaros
88,73,undirected,23Picaros
88,80,undirected,23Picaros
88,24,undirected,23Picaros
88,20,undirected,23Picaros
31,32,undirected,23Picaros
31,85,undirected,23Picaros
31,59,undirected,23Picaros
31,11,undirected,23Picaros
31,56,undirected,23Picaros
31,22,undirected,23Picaros
31,41,undirected,23Picaros
31,73,undirected,23Picaros
31,80,undirected,23Picaros
31,24,undirected,23Picaros
31,20,undirected,23Picaros
32,85,undirected,23Picaros
32,59,undirected,23Picaros
32,11,undirected,23Picaros
32,56,undirected,23Picaros
32,22,undirected,23Picaros
32,41,undirected,23Picaros
32,73,undirected,23Picaros
32,80,undirected,23Picaros
32,24,undirected,23Picaros
32,20,undirected,23Picaros
85,59,undirected,23Picaros
85,11,undirected,23Picaros
85,56,undirected,23Picaros
85,22,undirected,23Picaros
85,41,undirected,23Picaros
85,73,undirected,23Picaros
85,80,undirected,23Picaros
85,24,undirected,23Picaros
85,20,undirected,23Picaros
59,11,undirected,23Picaros
59,56,undirected,23Picaros
59,22,undirected,23Picaros
59,41,undirected,23Picaros
59,73,undirected,23Picaros
59,80,undirected,23Picaros
59,24,undirected,23Picaros
59,20,undirected,23Picaros
11,56,undirected,23Picaros
11,22,undirected,23Picaros
11,41,undirected,23Picaros
11,73,undirected,23Picaros
11,80,undirected,23Picaros
11,24,undirected,23Picaros
11,20,undirected,23Picaros
56,22,undirected,23Picaros
56,41,undirected,23Picaros
56,73,undirected,23Picaros
56,80,undirected,23Picaros
56,24,undirected,23Picaros
56,20,undirected,23Picaros
22,41,undirected,23Picaros
22,73,undirected,23Picaros
22,80,undirected,23Picaros
22,24,undirected,23Picaros
22,20,undirected,23Picaros
41,73,undirected,23Picaros
41,80,undirected,23Picaros
41,24,undirected,23Picaros
41,20,undirected,23Picaros
73,80,undirected,23Picaros
73,24,undirected,23Picaros
73,20,undirected,23Picaros
80,24,undirected,23Picaros
80,20,undirected,23Picaros
24,20,undirected,23Picaros
89,76,undirected,24AlphArt
89,17,undirected,24AlphArt
89,62,undirected,24AlphArt
89,88,undirected,24AlphArt
89,29,undirected,24AlphArt
89,35,undirected,24AlphArt
89,47,undirected,24AlphArt
89,70,undirected,24AlphArt
89,40,undirected,24AlphArt
89,81,undirected,24AlphArt
89,33,undirected,24AlphArt
89,90,undirected,24AlphArt
89,24,undirected,24AlphArt
89,38,undirected,24AlphArt
76,17,undirected,24AlphArt
76,62,undirected,24AlphArt
76,88,undirected,24AlphArt
76,29,undirected,24AlphArt
76,35,undirected,24AlphArt
76,47,undirected,24AlphArt
76,70,undirected,24AlphArt
76,40,undirected,24AlphArt
76,81,undirected,24AlphArt
76,33,undirected,24AlphArt
76,90,undirected,24AlphArt
76,24,undirected,24AlphArt
76,38,undirected,24AlphArt
17,62,undirected,24AlphArt
17,88,undirected,24AlphArt
17,29,undirected,24AlphArt
17,35,undirected,24AlphArt
17,47,undirected,24AlphArt
17,70,undirected,24AlphArt
17,40,undirected,24AlphArt
17,81,undirected,24AlphArt
17,33,undirected,24AlphArt
17,90,undirected,24AlphArt
17,24,undirected,24AlphArt
17,38,undirected,24AlphArt
62,88,undirected,24AlphArt
62,29,undirected,24AlphArt
62,35,undirected,24AlphArt
62,47,undirected,24AlphArt
62,70,undirected,24AlphArt
62,40,undirected,24AlphArt
62,81,undirected,24AlphArt
62,33,undirected,24AlphArt
62,90,undirected,24AlphArt
62,24,undirected,24AlphArt
62,38,undirected,24AlphArt
88,29,undirected,24AlphArt
88,35,undirected,24AlphArt
88,47,undirected,24AlphArt
88,70,undirected,24AlphArt
88,40,undirected,24AlphArt
88,81,undirected,24AlphArt
88,33,undirected,24AlphArt
88,90,undirected,24AlphArt
88,24,undirected,24AlphArt
88,38,undirected,24AlphArt
29,35,undirected,24AlphArt
29,47,undirected,24AlphArt
29,70,undirected,24AlphArt
29,40,undirected,24AlphArt
29,81,undirected,24AlphArt
29,33,undirected,24AlphArt
29,90,undirected,24AlphArt
29,24,undirected,24AlphArt
29,38,undirected,24AlphArt
35,47,undirected,24AlphArt
35,70,undirected,24AlphArt
35,40,undirected,24AlphArt
35,81,undirected,24AlphArt
35,33,undirected,24AlphArt
35,90,undirected,24AlphArt
35,24,undirected,24AlphArt
35,38,undirected,24AlphArt
47,70,undirected,24AlphArt
47,40,undirected,24AlphArt
47,81,undirected,24AlphArt
47,33,undirected,24AlphArt
47,90,undirected,24AlphArt
47,24,undirected,24AlphArt
47,38,undirected,24AlphArt
70,40,undirected,24AlphArt
70,81,undirected,24AlphArt
70,33,undirected,24AlphArt
70,90,undirected,24AlphArt
70,24,undirected,24AlphArt
70,38,undirected,24AlphArt
40,81,undirected,24AlphArt
40,33,undirected,24AlphArt
40,90,undirected,24AlphArt
40,24,undirected,24AlphArt
40,38,undirected,24AlphArt
81,33,undirected,24AlphArt
81,90,undirected,24AlphArt
81,24,undirected,24AlphArt
81,38,undirected,24AlphArt
33,90,undirected,24AlphArt
33,24,undirected,24AlphArt
33,38,undirected,24AlphArt
90,24,undirected,24AlphArt
90,38,undirected,24AlphArt
24,38,undirected,24AlphArt
